,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,rounds,solvers
302,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.15584415584415584,0.36508596914523056,77,0.07429755714196835,0.23739075454634334,1.0,3.0
303,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.16883116883116883,0.37705916758225944,77,0.08461020384092044,0.2530521338214172,1.0,5.0
304,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.12987012987012986,0.338364850990036,77,0.05429203306402203,0.2054482266762377,1.0,7.0
305,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.24675324675324675,0.43394894666502903,77,0.14982522540588794,0.34368126810060556,2.0,3.0
306,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.2987012987012987,0.46068984500178084,77,0.19580035730251044,0.40160224010008694,2.0,5.0
307,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.22077922077922077,0.4174917781534154,77,0.12752711751639667,0.31403132404204487,2.0,7.0
308,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.23376623376623376,0.42600049098389964,77,0.13861360117799032,0.3289188663544772,3.0,3.0
309,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.33766233766233766,0.4760138656314653,77,0.2313385811832585,0.4439860941414168,3.0,5.0
310,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.2857142857142857,0.4547163041867237,77,0.18414761069888408,0.3872809607296873,3.0,7.0
326,FANToM,BeliefQ_Dist_First_Order,Mixed-A MAD R3 S7,MAD,Mixed,0.19480519480519481,0.3986477484460184,77,0.10576214545939462,0.283848244150995,3.0,7.0
328,FANToM,BeliefQ_Dist_First_Order,Mixed-B MAD R3 S7,MAD,Mixed,0.16883116883116883,0.37705916758225944,77,0.08461020384092044,0.2530521338214172,3.0,7.0
332,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.2799798348240585,0.0888847785352027,77,0.260126288047355,0.29983338160076206,1.0,3.0
333,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.2815829248537908,0.08780080784264394,77,0.26197149673006637,0.3011943529775152,1.0,5.0
334,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.2813937851429552,0.09330250571941093,77,0.26055348276260626,0.30223408752330416,1.0,7.0
335,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.22435930374790583,0.07079014097086601,77,0.20854742461341594,0.24017118288239572,2.0,3.0
336,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.21452005654586076,0.0759153555505606,77,0.19756339549172744,0.23147671759999408,2.0,5.0
337,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.21609583000491864,0.07685381375957179,77,0.19892955236336024,0.23326210764647703,2.0,7.0
338,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.20423414572488757,0.07258150799920929,77,0.18802214196076414,0.220446149489011,3.0,3.0
339,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.20501582437199356,0.06940697223942334,77,0.18951289358121692,0.2205187551627702,3.0,5.0
340,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.1994834044577321,0.07185382953593245,77,0.18343393694162716,0.21553287197383705,3.0,7.0
357,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.2808428929619114,0.09263094062774078,77,0.26015259319371714,0.30153319273010565,1.0,3.0
358,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.28617084379660057,0.0897856298580883,77,0.2661160804092185,0.3062256071839826,1.0,5.0
359,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.28438607719110726,0.09170501565458795,77,0.2639025945525628,0.3048695598296517,1.0,7.0
360,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.2476664713120678,0.08290359148486184,77,0.22914889880273698,0.2661840438213986,2.0,3.0
361,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.23687113508837687,0.07407317647391043,77,0.22032594818169676,0.253416321995057,2.0,5.0
