,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,layers,workers
182,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.38461538461538464,0.49613893835683387,26,0.1939057164944608,0.5753250527363085,3.0,5.0
183,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.38461538461538464,0.4961389383568338,26,0.19390571649446084,0.5753250527363084,4.0,5.0
184,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,5.0,5.0
201,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.5384615384615384,0.508391127441794,26,0.3430422804787783,0.7338807964442986,3.0,3.0
202,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.5384615384615384,0.508391127441794,26,0.3430422804787783,0.7338807964442986,4.0,3.0
203,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.46153846153846156,0.508391127441794,26,0.26611920355570146,0.6569577195212217,5.0,3.0
204,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.5384615384615384,0.508391127441794,26,0.3430422804787783,0.7338807964442986,3.0,4.0
205,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.5384615384615384,0.508391127441794,26,0.3430422804787783,0.7338807964442986,4.0,4.0
206,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.5,0.5099019513592784,26,0.30400000000000005,0.696,5.0,4.0
207,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.6153846153846154,0.49613893835683387,26,0.4246749472636916,0.8060942835055392,3.0,5.0
208,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.5769230769230769,0.503831473655779,26,0.3832564934293564,0.7705896604167973,4.0,5.0
209,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.5,0.5099019513592784,26,0.30400000000000005,0.696,5.0,5.0
215,FANToM,BeliefQ_Choice_Second_Order_Acyclic,Mixed MoA W5 L5,MoA,Mixed,0.5769230769230769,0.503831473655779,26,0.3832564934293564,0.7705896604167973,5.0,5.0
231,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.4074074074074074,0.5007117441325405,27,0.21853784803667226,0.5962769667781425,3.0,3.0
232,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.4074074074074074,0.5007117441325405,27,0.21853784803667226,0.5962769667781425,4.0,3.0
233,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.48148148148148145,0.5091750772173155,27,0.28941953445605195,0.673543428506911,5.0,3.0
234,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,3.0,4.0
235,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,4.0,4.0
236,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,5.0,4.0
237,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,3.0,5.0
238,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.48148148148148145,0.5091750772173155,27,0.28941953445605195,0.673543428506911,4.0,5.0
239,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.37037037037037035,0.4921028776234113,27,0.18474809417865792,0.5559926465620828,5.0,5.0
256,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,3.0,3.0
257,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,4.0,3.0
