dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper
FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.7952127659574468,0.4040837635234337,376,0.754368269218751,0.8360572626961427
FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.8058510638297872,0.39607113051260356,376,0.7658164782838243,0.8458856493757502
FANToM,AnswerabilityQs_Binary,Mixed MoA W5 L5,MoA,Mixed,0.6303191489361702,0.4833614567508878,376,0.5814613198768546,0.6791769779954859
FANToM,AnswerabilityQs_Binary,Mixed-A MAD R3 S7,MAD,Mixed,0.6356382978723404,0.48189195693228615,376,0.586929004799784,0.6843475909448967
FANToM,AnswerabilityQs_Binary,Mixed-A Reflection T5,Reflection,Mixed,0.5478723404255319,0.4983661247780001,376,0.4974978502933863,0.5982468305576776
FANToM,AnswerabilityQs_Binary,Mixed-B MAD R3 S7,MAD,Mixed,0.6542553191489362,0.4762441712381349,376,0.6061169001999878,0.7023937380978846
FANToM,AnswerabilityQs_Binary,Mixed-B Reflection T5,Reflection,Mixed,0.8058510638297872,0.3960711305126035,376,0.7658164782838243,0.8458856493757502
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq>,Vanilla,<Rc3kmmq>,0.19480519480519481,0.3986477484460184,77,0.10576214545939462,0.283848244150995
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> + CoT,CoT,<Rc3kmmq>,0.3246753246753247,0.47132395947782435,77,0.21939911843751414,0.4299515309131352
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.3116883116883117,0.4662205334202242,77,0.20755202062636996,0.4158246027502534
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.3116883116883117,0.4662205334202241,77,0.20755202062636996,0.4158246027502534
FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.2727272727272727,0.44828220776542427,77,0.17259773505272072,0.3728568104018247
